# completed local quartic closure restart checkpoint; cutoff=2; restart=0; seed=5483322645639050671; objective=projective-core-stretching-tail-cross-ratio; selection=double-triple-remainder-without-123; optimized_objective=1.12214914024629359e-53; refined_objective=0; accepted_steps=2; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
0	2	1	-0.0020041761394307749597	0.030386965192176849243	0.013017785363876290677	-0.0040098048646176366605	-0.026035570727752581355	0.008019609729235273321
0	2	2	-0.00034579970768569751917	0.025314940503338708572	0.031894642736394675231	-0.0061563316343062534849	-0.031894642736394675231	0.0061563316343062534849
1	-2	-2	0.043348749699718580608	-0.019933350120300705882	0.047224968374297258966	0.017873366174037008669	-0.025550593524437972132	-0.027840041234187359875
1	-2	-1	0.039893866126882900069	0.021664432752255848719	-0.018577349446964500079	0.014939245399310793067	0.077048565020811893289	-0.0082140580463657374144
1	-2	0	0.030658158827721829903	0.0088771906779196406434	0.015329079413860914952	0.0044385953389598203217	0.065450457772375320031	0.076520059867255116326
1	-2	1	0.038557337725505534676	0.034761037268006791945	-0.01493261280851606275	-0.013442703157728993352	-0.068422563342537656705	-0.061646443583464785587
1	-2	2	0.026955137067828417036	0.019211110992562716038	0.0047445090809981249266	0.033886534267966332556	-0.0087330594529160827239	0.024280978771684974538
1	-1	-2	0.0035879274643229514853	-0.0071862526672222641622	-0.022449387906335462745	-0.041201424277064191415	0.013018657685329206031	0.017007585804920965361
1	-1	-1	0.0091084686216374773776	-0.036883622187321302155	0.047662053176326366066	-0.032020414833889385142	-0.038553584554688886954	-0.0048632073534319126759
1	-1	0	0.062399853151381488858	0.055162156484878356599	0.062399853151381488858	0.055162156484878356599	0.0091954921009866595616	-0.0898809784835228609
1	-1	1	0.046824134053850649528	0.012854249980672801529	0.0026015766026904435342	-0.073920118600681178345	-0.04422255745116020903	-0.086774368581353983343
1	-1	2	-0.011546956565185461513	0.067377226038706203304	-0.045621632453490316983	0.061891887569137875313	-0.01703733794415242947	-0.0027426692347841652962
1	0	-2	0.058035008998255893653	-0.018775760264481917983	-0.016502043102888511172	-0.016790857060999860723	0.029017504499127946826	-0.0093878801322409589913
1	0	-1	0.023186526741304318983	-0.070364961770233824812	0.075254764781552629938	0.031793301232851782501	0.023186526741304318983	-0.070364961770233824812
1	0	0	0	0	-0.1343638323277493718	-0.05957510270764877075	-0.0011507066858863965447	0.024148597130568608821
1	0	1	0.013756243643985581471	0.056315949910722321037	-0.038730407417959362981	0.062106454548857527309	-0.013756243643985581471	-0.056315949910722321037
1	0	2	-0.017551446972965737553	0.018567278753859904616	-0.0065322242993106722705	-0.0065977986089832312347	0.0087757234864828687765	-0.0092836393769299523082
1	1	-2	0.047548699310023555265	0.074567757982364354929	0.044048324099450884839	-0.054364569714128334332	0.045798511704737220052	0.010101594134118010299
1	1	-1	-0.030133684664681983922	0.012591947460336757464	0.056276453015475770558	-0.0036361596636943493976	0.026142768350793786636	0.0089557877966424080662
1	1	0	0.023681805233705170016	-0.016997074037992582207	-0.023681805233705170016	0.016997074037992582207	-0.0048357605188434028484	-0.11168989779510626881
1	1	1	0.083413293289977735734	0.030648689128699904693	-0.038739009425785238261	-0.031919674151827497066	-0.044674283864192490534	0.0012709850231275923726
1	1	2	0.030739433817261598708	-0.017759146676695116568	-0.020447704827198633082	-0.0075631041242784106601	-0.0051458644950314836805	0.012661125400486764048
1	2	-2	0.012360049502101963861	0.028987118048055697528	0.0096135917653820141676	-0.008436758852796539046	0.015793616516432996966	0.0060568001712313097179
1	2	-1	-0.013763723856596995002	0.0041119557809521679881	0.016286783524430331616	-0.0018930254134033866129	0.018809843192263669964	0.00032590495414539470817
1	2	0	0.016153393376533597969	0.027367156321247487066	-0.0080766966882667989847	-0.013683578160623743533	-0.050417174048209625892	0.028262892663385958542
1	2	1	-0.024228727929802892915	-0.02517778173515505119	0.012532810838457376576	0.0012359256077460957675	-0.00083689374711186056196	0.022705930519662860523
1	2	2	-0.014545337755413693601	0.011731393415041663914	-0.016293903012621832604	0.014046654222167918175	0.023566571890328676803	-0.019912350929688751866
2	-2	-2	-0.018665803873708981808	0.0043353649342100127051	-0.0081386569838772498259	-0.0019769397309134118662	-0.010527146889831731982	0.0063123046651234245713
2	-2	-1	-0.013116478674004523192	0.0021039024556847208021	-0.028519519813540280401	0.024426406299592934995	0.030806082279071510949	-0.044645007687816429254
2	-2	0	-0.03851064556858215665	0.039625857230700237133	-0.03851064556858215665	0.039625857230700237133	0.027319229946674364329	-0.056130118040898464848
2	-2	1	-0.002135250646861996688	-0.0027659147462346920544	-0.022522371402964661002	-0.01062757265200921751	-0.040774241512205329496	-0.01572331581154904831
2	-2	2	0.0022845510766457302436	0.026036261720444844187	-0.011434224743988929268	0.037926772484786840101	-0.013718775820634659945	0.011890510764341994179
2	-1	-2	0.027418791140871704576	0.022637984061076234232	-0.0047287892976976492534	-0.0029275324896985495567	0.029783185789720528769	0.024101750305925508794
2	-1	-1	0.019147187390313423483	-0.021521981810213274	-0.0075803031450995053686	-0.039779061852174460445	0.045874677925726352334	-0.0032649017682520840855
2	-1	0	0.014582916997803289233	-0.011496371516459810702	0.029165833995606578466	-0.022992743032919621404	-0.037154982310286861769	0.032579341644246737064
2	-1	1	-0.0021164483431654976947	0.0011787076359219520079	0.03332234119220677665	-0.029113499953022894257	0.03755523787853776857	-0.031470915224866800874
2	-1	2	0.013928840593291596031	-0.024863711858368713059	-0.0054280364947725152913	-0.017771321568970883942	-0.016642858840677853677	0.015978051073883271088
2	0	-2	-0.0058698781046536236891	0.016417189733804685853	0.030344112649477113924	0.045314511160361246878	-0.0058698781046536236891	0.016417189733804685853
2	0	-1	-0.040565270440271819496	0.017459398252492309284	0.011665875152721447497	0.035581917885793498679	-0.081130540880543638993	0.034918796504984618567
2	0	0	0	0	-0.011758102492585718185	0.030942046765989127122	-0.074211864639403615773	0.062984685192011294341
2	0	1	0.01807221539717496217	-0.014635112127047234312	0.010968211201549555103	-0.053447886222384381749	-0.036144430794349924341	0.029270224254094468624
2	0	2	-0.023623322802328820119	0.0072061869774884285827	-0.05873851888762398471	-0.030971242294601471212	0.023623322802328820119	-0.0072061869774884285827
2	1	-2	0.038336886982269897939	-0.03078599516843916542	-0.01986731488247089894	-0.024478957341256383368	0.028403229541034451938	-0.043025473839067358839
2	1	-1	0.017629324288826461048	-0.02464293527129940431	-0.0040747612713772571325	0.0077586883222144796199	0.031183887306275668433	-0.041527182220384324662
2	1	0	-0.021167739255350977862	-0.030322339219671565896	0.042335478510701955723	0.060644678439343131793	-0.020866272322005881973	-0.015509980092765064327
2	1	1	0.043743912334489244709	-0.01615571994106589776	-0.039832254663198431166	0.032352121809129850971	-0.047655570005780058251	-4.068192699805349942e-05
2	1	2	-0.013188071573387650723	-0.0034641958155753244976	0.0032010646777281674159	-0.018337608554918900794	0.011587539234523566364	0.012633000093034774461
2	2	-2	-0.020487354529495009625	-0.039064255449561241518	-0.013282173178894697216	0.011748861850044263477	-0.033769527708389701637	-0.02731539359951698151
2	2	-1	0.00064682711476683697662	0.001676277021331909001	0.0025218390522154222021	-0.018078921480428368496	0.0063373323339645185742	-0.032805288918192919423
2	2	0	-0.013787297583657286137	-0.0037659751228996882211	0.013787297583657286137	0.0037659751228996882211	0.00078756788898063409109	-0.045354740554034836397
2	2	1	-0.001593099861087842687	-0.0033418579659136573787	-0.018076267380144953739	-0.0061035594766330227012	0.039338734482465588516	0.018890834885093358425
2	2	2	0.0092126851648422283803	-0.035964765735264199453	0.010101036465462847821	0.030992730660902512857	-0.019313721630305077936	0.004972035074361688331
