# cutoff=8 energy=1 Q=D^4*Z=0.00014690919799744547804
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	0	0	0	0	0	0
-8	-8	-7	0	0	0	0	0	0
-8	-8	-6	0	0	0	0	0	0
-8	-8	-5	0	0	0	0	0	0
-8	-8	-4	0	0	0	0	0	0
-8	-8	-3	0	0	0	0	0	0
-8	-8	-2	0	0	0	0	0	0
-8	-8	-1	0	0	0	0	0	0
-8	-8	0	0	0	0	0	0	0
-8	-8	1	0	0	0	0	0	0
-8	-8	2	0	0	0	0	0	0
-8	-8	3	0	0	0	0	0	0
-8	-8	4	0	0	0	0	0	0
-8	-8	5	0	0	0	0	0	0
-8	-8	6	0	0	0	0	0	0
-8	-8	7	0	0	0	0	0	0
-8	-8	8	0	0	0	0	0	0
-8	-7	-8	0	0	0	0	0	0
-8	-7	-7	0	0	0	0	0	0
-8	-7	-6	0	0	0	0	0	0
-8	-7	-5	0	0	0	0	0	0
-8	-7	-4	0	0	0	0	0	0
-8	-7	-3	0	0	0	0	0	0
-8	-7	-2	0	0	0	0	0	0
-8	-7	-1	0	0	0	0	0	0
-8	-7	0	0	0	0	0	0	0
-8	-7	1	0	0	0	0	0	0
-8	-7	2	0	0	0	0	0	0
-8	-7	3	0	0	0	0	0	0
-8	-7	4	0	0	0	0	0	0
-8	-7	5	0	0	0	0	0	0
-8	-7	6	0	0	0	0	0	0
-8	-7	7	0	0	0	0	0	0
-8	-7	8	0	0	0	0	0	0
-8	-6	-8	0	0	0	0	0	0
-8	-6	-7	0	0	0	0	0	0
-8	-6	-6	0	0	0	0	0	0
-8	-6	-5	0	0	0	0	0	0
-8	-6	-4	0	0	0	0	0	0
-8	-6	-3	0	0	0	0	0	0
-8	-6	-2	0	0	0	0	0	0
-8	-6	-1	0	0	0	0	0	0
-8	-6	0	0	0	0	0	0	0
-8	-6	1	0	0	0	0	0	0
