# projective normalization low/high satellite; base=proof/l4/states/local-projective-normalization-cauchy/H8-K8-twenty-four-step/K8.tsv; base_cutoff=2; cutoff=12; satellite_amplitude=0.00694444444444444406; satellite_mode_pairs=1; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-9	-7	0	0	0	0	0	0
-12	-9	-6	0	0	0	0	0	0
-12	-9	-5	0	0	0	0	0	0
-12	-9	-4	0	0	0	0	0	0
-12	-9	-3	0	0	0	0	0	0
-12	-9	-2	0	0	0	0	0	0
-12	-9	-1	0	0	0	0	0	0
-12	-9	0	0	0	0	0	0	0
-12	-9	1	0	0	0	0	0	0
-12	-9	2	0	0	0	0	0	0
-12	-9	3	0	0	0	0	0	0
-12	-9	4	0	0	0	0	0	0
-12	-9	5	0	0	0	0	0	0
-12	-9	6	0	0	0	0	0	0
-12	-9	7	0	0	0	0	0	0
-12	-9	8	0	0	0	0	0	0
-12	-9	9	0	0	0	0	0	0
-12	-9	10	0	0	0	0	0	0
-12	-9	11	0	0	0	0	0	0
-12	-9	12	0	0	0	0	0	0
-12	-8	-12	0	0	0	0	0	0
-12	-8	-11	0	0	0	0	0	0
-12	-8	-10	0	0	0	0	0	0
-12	-8	-9	0	0	0	0	0	0
-12	-8	-8	0	0	0	0	0	0
-12	-8	-7	0	0	0	0	0	0
-12	-8	-6	0	0	0	0	0	0
-12	-8	-5	0	0	0	0	0	0
-12	-8	-4	0	0	0	0	0	0
-12	-8	-3	0	0	0	0	0	0
-12	-8	-2	0	0	0	0	0	0
-12	-8	-1	0	0	0	0	0	0
-12	-8	0	0	0	0	0	0	0
-12	-8	1	0	0	0	0	0	0
-12	-8	2	0	0	0	0	0	0
-12	-8	3	0	0	0	0	0	0
-12	-8	4	0	0	0	0	0	0
-12	-8	5	0	0	0	0	0	0
-12	-8	6	0	0	0	0	0	0
-12	-8	7	0	0	0	0	0	0
-12	-8	8	0	0	0	0	0	0
-12	-8	9	0	0	0	0	0	0
-12	-8	10	0	0	0	0	0	0
-12	-8	11	0	0	0	0	0	0
-12	-8	12	0	0	0	0	0	0
-12	-7	-12	0	0	0	0	0	0
-12	-7	-11	0	0	0	0	0	0
-12	-7	-10	0	0	0	0	0	0
-12	-7	-9	0	0	0	0	0	0
-12	-7	-8	0	0	0	0	0	0
-12	-7	-7	0	0	0	0	0	0
-12	-7	-6	0	0	0	0	0	0
-12	-7	-5	0	0	0	0	0	0
-12	-7	-4	0	0	0	0	0	0
-12	-7	-3	0	0	0	0	0	0
-12	-7	-2	0	0	0	0	0	0
-12	-7	-1	0	0	0	0	0	0
-12	-7	0	0	0	0	0	0	0
-12	-7	1	0	0	0	0	0	0
-12	-7	2	0	0	0	0	0	0
-12	-7	3	0	0	0	0	0	0
-12	-7	4	0	0	0	0	0	0
-12	-7	5	0	0	0	0	0	0
-12	-7	6	0	0	0	0	0	0
-12	-7	7	0	0	0	0	0	0
-12	-7	8	0	0	0	0	0	0
-12	-7	9	0	0	0	0	0	0
-12	-7	10	0	0	0	0	0	0
-12	-7	11	0	0	0	0	0	0
-12	-7	12	0	0	0	0	0	0
-12	-6	-12	0	0	0	0	0	0
-12	-6	-11	0	0	0	0	0	0
-12	-6	-10	0	0	0	0	0	0
-12	-6	-9	0	0	0	0	0	0
-12	-6	-8	0	0	0	0	0	0
-12	-6	-7	0	0	0	0	0	0
-12	-6	-6	0	0	0	0	0	0
-12	-6	-5	0	0	0	0	0	0
-12	-6	-4	0	0	0	0	0	0
-12	-6	-3	0	0	0	0	0	0
-12	-6	-2	0	0	0	0	0	0
-12	-6	-1	0	0	0	0	0	0
-12	-6	0	0	0	0	0	0	0
-12	-6	1	0	0	0	0	0	0
-12	-6	2	0	0	0	0	0	0
-12	-6	3	0	0	0	0	0	0
-12	-6	4	0	0	0	0	0	0
-12	-6	5	0	0	0	0	0	0
-12	-6	6	0	0	0	0	0	0
-12	-6	7	0	0	0	0	0	0
-12	-6	8	0	0	0	0	0	0
-12	-6	9	0	0	0	0	0	0
-12	-6	10	0	0	0	0	0	0
-12	-6	11	0	0	0	0	0	0
-12	-6	12	0	0	0	0	0	0
-12	-5	-12	0	0	0	0	0	0
-12	-5	-11	0	0	0	0	0	0
-12	-5	-10	0	0	0	0	0	0
-12	-5	-9	0	0	0	0	0	0
-12	-5	-8	0	0	0	0	0	0
-12	-5	-7	0	0	0	0	0	0
-12	-5	-6	0	0	0	0	0	0
-12	-5	-5	0	0	0	0	0	0
-12	-5	-4	0	0	0	0	0	0
-12	-5	-3	0	0	0	0	0	0
-12	-5	-2	0	0	0	0	0	0
-12	-5	-1	0	0	0	0	0	0
-12	-5	0	0	0	0	0	0	0
-12	-5	1	0	0	0	0	0	0
-12	-5	2	0	0	0	0	0	0
-12	-5	3	0	0	0	0	0	0
-12	-5	4	0	0	0	0	0	0
-12	-5	5	0	0	0	0	0	0
-12	-5	6	0	0	0	0	0	0
-12	-5	7	0	0	0	0	0	0
-12	-5	8	0	0	0	0	0	0
-12	-5	9	0	0	0	0	0	0
-12	-5	10	0	0	0	0	0	0
-12	-5	11	0	0	0	0	0	0
-12	-5	12	0	0	0	0	0	0
-12	-4	-12	0	0	0	0	0	0
-12	-4	-11	0	0	0	0	0	0
-12	-4	-10	0	0	0	0	0	0
-12	-4	-9	0	0	0	0	0	0
-12	-4	-8	0	0	0	0	0	0
-12	-4	-7	0	0	0	0	0	0
-12	-4	-6	0	0	0	0	0	0
-12	-4	-5	0	0	0	0	0	0
-12	-4	-4	0	0	0	0	0	0
-12	-4	-3	0	0	0	0	0	0
-12	-4	-2	0	0	0	0	0	0
-12	-4	-1	0	0	0	0	0	0
-12	-4	0	0	0	0	0	0	0
-12	-4	1	0	0	0	0	0	0
-12	-4	2	0	0	0	0	0	0
-12	-4	3	0	0	0	0	0	0
-12	-4	4	0	0	0	0	0	0
-12	-4	5	0	0	0	0	0	0
-12	-4	6	0	0	0	0	0	0
-12	-4	7	0	0	0	0	0	0
-12	-4	8	0	0	0	0	0	0
-12	-4	9	0	0	0	0	0	0
-12	-4	10	0	0	0	0	0	0
-12	-4	11	0	0	0	0	0	0
-12	-4	12	0	0	0	0	0	0
-12	-3	-12	0	0	0	0	0	0
-12	-3	-11	0	0	0	0	0	0
-12	-3	-10	0	0	0	0	0	0
-12	-3	-9	0	0	0	0	0	0
-12	-3	-8	0	0	0	0	0	0
-12	-3	-7	0	0	0	0	0	0
-12	-3	-6	0	0	0	0	0	0
-12	-3	-5	0	0	0	0	0	0
-12	-3	-4	0	0	0	0	0	0
-12	-3	-3	0	0	0	0	0	0
-12	-3	-2	0	0	0	0	0	0
-12	-3	-1	0	0	0	0	0	0
-12	-3	0	0	0	0	0	0	0
-12	-3	1	0	0	0	0	0	0
-12	-3	2	0	0	0	0	0	0
-12	-3	3	0	0	0	0	0	0
-12	-3	4	0	0	0	0	0	0
-12	-3	5	0	0	0	0	0	0
-12	-3	6	0	0	0	0	0	0
-12	-3	7	0	0	0	0	0	0
-12	-3	8	0	0	0	0	0	0
-12	-3	9	0	0	0	0	0	0
-12	-3	10	0	0	0	0	0	0
-12	-3	11	0	0	0	0	0	0
-12	-3	12	0	0	0	0	0	0
-12	-2	-12	0	0	0	0	0	0
-12	-2	-11	0	0	0	0	0	0
-12	-2	-10	0	0	0	0	0	0
-12	-2	-9	0	0	0	0	0	0
-12	-2	-8	0	0	0	0	0	0
-12	-2	-7	0	0	0	0	0	0
-12	-2	-6	0	0	0	0	0	0
-12	-2	-5	0	0	0	0	0	0
-12	-2	-4	0	0	0	0	0	0
-12	-2	-3	0	0	0	0	0	0
-12	-2	-2	0	0	0	0	0	0
-12	-2	-1	0	0	0	0	0	0
-12	-2	0	0	0	0	0	0	0
-12	-2	1	0	0	0	0	0	0
-12	-2	2	0	0	0	0	0	0
-12	-2	3	0	0	0	0	0	0
-12	-2	4	0	0	0	0	0	0
-12	-2	5	0	0	0	0	0	0
-12	-2	6	0	0	0	0	0	0
-12	-2	7	0	0	0	0	0	0
-12	-2	8	0	0	0	0	0	0
-12	-2	9	0	0	0	0	0	0
-12	-2	10	0	0	0	0	0	0
-12	-2	11	0	0	0	0	0	0
-12	-2	12	0	0	0	0	0	0
-12	-1	-12	0	0	0	0	0	0
-12	-1	-11	0	0	0	0	0	0
-12	-1	-10	0	0	0	0	0	0
-12	-1	-9	0	0	0	0	0	0
-12	-1	-8	0	0	0	0	0	0
-12	-1	-7	0	0	0	0	0	0
-12	-1	-6	0	0	0	0	0	0
-12	-1	-5	0	0	0	0	0	0
-12	-1	-4	0	0	0	0	0	0
-12	-1	-3	0	0	0	0	0	0
-12	-1	-2	0	0	0	0	0	0
-12	-1	-1	0	0	0	0	0	0
-12	-1	0	0	0	0	0	0	0
-12	-1	1	0	0	0	0	0	0
-12	-1	2	0	0	0	0	0	0
-12	-1	3	0	0	0	0	0	0
-12	-1	4	0	0	0	0	0	0
-12	-1	5	0	0	0	0	0	0
-12	-1	6	0	0	0	0	0	0
-12	-1	7	0	0	0	0	0	0
-12	-1	8	0	0	0	0	0	0
-12	-1	9	0	0	0	0	0	0
-12	-1	10	0	0	0	0	0	0
-12	-1	11	0	0	0	0	0	0
-12	-1	12	0	0	0	0	0	0
-12	0	-12	0	0	0	0	0	0
-12	0	-11	0	0	0	0	0	0
-12	0	-10	0	0	0	0	0	0
-12	0	-9	0	0	0	0	0	0
-12	0	-8	0	0	0	0	0	0
-12	0	-7	0	0	0	0	0	0
-12	0	-6	0	0	0	0	0	0
-12	0	-5	0	0	0	0	0	0
-12	0	-4	0	0	0	0	0	0
-12	0	-3	0	0	0	0	0	0
-12	0	-2	0	0	0	0	0	0
-12	0	-1	0	0	0	0	0	0
-12	0	0	0	0	0	0	0	0
-12	0	1	0	0	0	0	0	0
-12	0	2	0	0	0	0	0	0
-12	0	3	0	0	0	0	0	0
-12	0	4	0	0	0	0	0	0
-12	0	5	0	0	0	0	0	0
-12	0	6	0	0	0	0	0	0
-12	0	7	0	0	0	0	0	0
-12	0	8	0	0	0	0	0	0
-12	0	9	0	0	0	0	0	0
-12	0	10	0	0	0	0	0	0
-12	0	11	0	0	0	0	0	0
-12	0	12	0	0	0	0	0	0
-12	1	-12	0	0	0	0	0	0
-12	1	-11	0	0	0	0	0	0
-12	1	-10	0	0	0	0	0	0
-12	1	-9	0	0	0	0	0	0
-12	1	-8	0	0	0	0	0	0
-12	1	-7	0	0	0	0	0	0
-12	1	-6	0	0	0	0	0	0
-12	1	-5	0	0	0	0	0	0
-12	1	-4	0	0	0	0	0	0
-12	1	-3	0	0	0	0	0	0
-12	1	-2	0	0	0	0	0	0
-12	1	-1	0	0	0	0	0	0
-12	1	0	0	0	0	0	0	0
-12	1	1	0	0	0	0	0	0
-12	1	2	0	0	0	0	0	0
-12	1	3	0	0	0	0	0	0
-12	1	4	0	0	0	0	0	0
-12	1	5	0	0	0	0	0	0
-12	1	6	0	0	0	0	0	0
-12	1	7	0	0	0	0	0	0
-12	1	8	0	0	0	0	0	0
-12	1	9	0	0	0	0	0	0
-12	1	10	0	0	0	0	0	0
-12	1	11	0	0	0	0	0	0
-12	1	12	0	0	0	0	0	0
-12	2	-12	0	0	0	0	0	0
-12	2	-11	0	0	0	0	0	0
-12	2	-10	0	0	0	0	0	0
-12	2	-9	0	0	0	0	0	0
-12	2	-8	0	0	0	0	0	0
-12	2	-7	0	0	0	0	0	0
-12	2	-6	0	0	0	0	0	0
-12	2	-5	0	0	0	0	0	0
-12	2	-4	0	0	0	0	0	0
-12	2	-3	0	0	0	0	0	0
-12	2	-2	0	0	0	0	0	0
-12	2	-1	0	0	0	0	0	0
-12	2	0	0	0	0	0	0	0
-12	2	1	0	0	0	0	0	0
-12	2	2	0	0	0	0	0	0
-12	2	3	0	0	0	0	0	0
-12	2	4	0	0	0	0	0	0
-12	2	5	0	0	0	0	0	0
-12	2	6	0	0	0	0	0	0
-12	2	7	0	0	0	0	0	0
-12	2	8	0	0	0	0	0	0
-12	2	9	0	0	0	0	0	0
-12	2	10	0	0	0	0	0	0
-12	2	11	0	0	0	0	0	0
-12	2	12	0	0	0	0	0	0
-12	3	-12	0	0	0	0	0	0
-12	3	-11	0	0	0	0	0	0
-12	3	-10	0	0	0	0	0	0
-12	3	-9	0	0	0	0	0	0
-12	3	-8	0	0	0	0	0	0
-12	3	-7	0	0	0	0	0	0
-12	3	-6	0	0	0	0	0	0
-12	3	-5	0	0	0	0	0	0
-12	3	-4	0	0	0	0	0	0
-12	3	-3	0	0	0	0	0	0
-12	3	-2	0	0	0	0	0	0
-12	3	-1	0	0	0	0	0	0
-12	3	0	0	0	0	0	0	0
-12	3	1	0	0	0	0	0	0
-12	3	2	0	0	0	0	0	0
-12	3	3	0	0	0	0	0	0
-12	3	4	0	0	0	0	0	0
-12	3	5	0	0	0	0	0	0
-12	3	6	0	0	0	0	0	0
-12	3	7	0	0	0	0	0	0
-12	3	8	0	0	0	0	0	0
-12	3	9	0	0	0	0	0	0
-12	3	10	0	0	0	0	0	0
-12	3	11	0	0	0	0	0	0
-12	3	12	0	0	0	0	0	0
-12	4	-12	0	0	0	0	0	0
-12	4	-11	0	0	0	0	0	0
-12	4	-10	0	0	0	0	0	0
-12	4	-9	0	0	0	0	0	0
-12	4	-8	0	0	0	0	0	0
-12	4	-7	0	0	0	0	0	0
-12	4	-6	0	0	0	0	0	0
-12	4	-5	0	0	0	0	0	0
-12	4	-4	0	0	0	0	0	0
-12	4	-3	0	0	0	0	0	0
-12	4	-2	0	0	0	0	0	0
-12	4	-1	0	0	0	0	0	0
-12	4	0	0	0	0	0	0	0
-12	4	1	0	0	0	0	0	0
-12	4	2	0	0	0	0	0	0
-12	4	3	0	0	0	0	0	0
-12	4	4	0	0	0	0	0	0
-12	4	5	0	0	0	0	0	0
-12	4	6	0	0	0	0	0	0
-12	4	7	0	0	0	0	0	0
-12	4	8	0	0	0	0	0	0
-12	4	9	0	0	0	0	0	0
-12	4	10	0	0	0	0	0	0
-12	4	11	0	0	0	0	0	0
-12	4	12	0	0	0	0	0	0
-12	5	-12	0	0	0	0	0	0
-12	5	-11	0	0	0	0	0	0
-12	5	-10	0	0	0	0	0	0
-12	5	-9	0	0	0	0	0	0
-12	5	-8	0	0	0	0	0	0
-12	5	-7	0	0	0	0	0	0
-12	5	-6	0	0	0	0	0	0
-12	5	-5	0	0	0	0	0	0
-12	5	-4	0	0	0	0	0	0
-12	5	-3	0	0	0	0	0	0
-12	5	-2	0	0	0	0	0	0
-12	5	-1	0	0	0	0	0	0
-12	5	0	0	0	0	0	0	0
-12	5	1	0	0	0	0	0	0
-12	5	2	0	0	0	0	0	0
-12	5	3	0	0	0	0	0	0
-12	5	4	0	0	0	0	0	0
-12	5	5	0	0	0	0	0	0
-12	5	6	0	0	0	0	0	0
-12	5	7	0	0	0	0	0	0
-12	5	8	0	0	0	0	0	0
-12	5	9	0	0	0	0	0	0
-12	5	10	0	0	0	0	0	0
-12	5	11	0	0	0	0	0	0
-12	5	12	0	0	0	0	0	0
-12	6	-12	0	0	0	0	0	0
-12	6	-11	0	0	0	0	0	0
-12	6	-10	0	0	0	0	0	0
-12	6	-9	0	0	0	0	0	0
-12	6	-8	0	0	0	0	0	0
-12	6	-7	0	0	0	0	0	0
-12	6	-6	0	0	0	0	0	0
-12	6	-5	0	0	0	0	0	0
-12	6	-4	0	0	0	0	0	0
-12	6	-3	0	0	0	0	0	0
-12	6	-2	0	0	0	0	0	0
-12	6	-1	0	0	0	0	0	0
-12	6	0	0	0	0	0	0	0
-12	6	1	0	0	0	0	0	0
-12	6	2	0	0	0	0	0	0
-12	6	3	0	0	0	0	0	0
-12	6	4	0	0	0	0	0	0
-12	6	5	0	0	0	0	0	0
-12	6	6	0	0	0	0	0	0
-12	6	7	0	0	0	0	0	0
-12	6	8	0	0	0	0	0	0
-12	6	9	0	0	0	0	0	0
-12	6	10	0	0	0	0	0	0
-12	6	11	0	0	0	0	0	0
-12	6	12	0	0	0	0	0	0
-12	7	-12	0	0	0	0	0	0
-12	7	-11	0	0	0	0	0	0
-12	7	-10	0	0	0	0	0	0
-12	7	-9	0	0	0	0	0	0
-12	7	-8	0	0	0	0	0	0
-12	7	-7	0	0	0	0	0	0
-12	7	-6	0	0	0	0	0	0
-12	7	-5	0	0	0	0	0	0
-12	7	-4	0	0	0	0	0	0
-12	7	-3	0	0	0	0	0	0
-12	7	-2	0	0	0	0	0	0
-12	7	-1	0	0	0	0	0	0
-12	7	0	0	0	0	0	0	0
-12	7	1	0	0	0	0	0	0
-12	7	2	0	0	0	0	0	0
-12	7	3	0	0	0	0	0	0
-12	7	4	0	0	0	0	0	0
-12	7	5	0	0	0	0	0	0
-12	7	6	0	0	0	0	0	0
-12	7	7	0	0	0	0	0	0
-12	7	8	0	0	0	0	0	0
-12	7	9	0	0	0	0	0	0
-12	7	10	0	0	0	0	0	0
-12	7	11	0	0	0	0	0	0
-12	7	12	0	0	0	0	0	0
-12	8	-12	0	0	0	0	0	0
-12	8	-11	0	0	0	0	0	0
-12	8	-10	0	0	0	0	0	0
-12	8	-9	0	0	0	0	0	0
-12	8	-8	0	0	0	0	0	0
-12	8	-7	0	0	0	0	0	0
-12	8	-6	0	0	0	0	0	0
-12	8	-5	0	0	0	0	0	0
-12	8	-4	0	0	0	0	0	0
-12	8	-3	0	0	0	0	0	0
-12	8	-2	0	0	0	0	0	0
-12	8	-1	0	0	0	0	0	0
-12	8	0	0	0	0	0	0	0
-12	8	1	0	0	0	0	0	0
-12	8	2	0	0	0	0	0	0
-12	8	3	0	0	0	0	0	0
-12	8	4	0	0	0	0	0	0
-12	8	5	0	0	0	0	0	0
-12	8	6	0	0	0	0	0	0
-12	8	7	0	0	0	0	0	0
-12	8	8	0	0	0	0	0	0
-12	8	9	0	0	0	0	0	0
-12	8	10	0	0	0	0	0	0
-12	8	11	0	0	0	0	0	0
-12	8	12	0	0	0	0	0	0
-12	9	-12	0	0	0	0	0	0
-12	9	-11	0	0	0	0	0	0
-12	9	-10	0	0	0	0	0	0
-12	9	-9	0	0	0	0	0	0
-12	9	-8	0	0	0	0	0	0
-12	9	-7	0	0	0	0	0	0
-12	9	-6	0	0	0	0	0	0
-12	9	-5	0	0	0	0	0	0
-12	9	-4	0	0	0	0	0	0
-12	9	-3	0	0	0	0	0	0
-12	9	-2	0	0	0	0	0	0
-12	9	-1	0	0	0	0	0	0
-12	9	0	0	0	0	0	0	0
-12	9	1	0	0	0	0	0	0
-12	9	2	0	0	0	0	0	0
-12	9	3	0	0	0	0	0	0
-12	9	4	0	0	0	0	0	0
-12	9	5	0	0	0	0	0	0
-12	9	6	0	0	0	0	0	0
-12	9	7	0	0	0	0	0	0
-12	9	8	0	0	0	0	0	0
-12	9	9	0	0	0	0	0	0
-12	9	10	0	0	0	0	0	0
-12	9	11	0	0	0	0	0	0
-12	9	12	0	0	0	0	0	0
-12	10	-12	0	0	0	0	0	0
-12	10	-11	0	0	0	0	0	0
-12	10	-10	0	0	0	0	0	0
-12	10	-9	0	0	0	0	0	0
-12	10	-8	0	0	0	0	0	0
-12	10	-7	0	0	0	0	0	0
-12	10	-6	0	0	0	0	0	0
-12	10	-5	0	0	0	0	0	0
-12	10	-4	0	0	0	0	0	0
-12	10	-3	0	0	0	0	0	0
-12	10	-2	0	0	0	0	0	0
-12	10	-1	0	0	0	0	0	0
-12	10	0	0	0	0	0	0	0
-12	10	1	0	0	0	0	0	0
-12	10	2	0	0	0	0	0	0
-12	10	3	0	0	0	0	0	0
-12	10	4	0	0	0	0	0	0
-12	10	5	0	0	0	0	0	0
-12	10	6	0	0	0	0	0	0
-12	10	7	0	0	0	0	0	0
-12	10	8	0	0	0	0	0	0
-12	10	9	0	0	0	0	0	0
-12	10	10	0	0	0	0	0	0
-12	10	11	0	0	0	0	0	0
-12	10	12	0	0	0	0	0	0
-12	11	-12	0	0	0	0	0	0
-12	11	-11	0	0	0	0	0	0
-12	11	-10	0	0	0	0	0	0
-12	11	-9	0	0	0	0	0	0
-12	11	-8	0	0	0	0	0	0
-12	11	-7	0	0	0	0	0	0
-12	11	-6	0	0	0	0	0	0
-12	11	-5	0	0	0	0	0	0
-12	11	-4	0	0	0	0	0	0
-12	11	-3	0	0	0	0	0	0
-12	11	-2	0	0	0	0	0	0
-12	11	-1	0	0	0	0	0	0
-12	11	0	0	0	0	0	0	0
-12	11	1	0	0	0	0	0	0
-12	11	2	0	0	0	0	0	0
-12	11	3	0	0	0	0	0	0
-12	11	4	0	0	0	0	0	0
-12	11	5	0	0	0	0	0	0
-12	11	6	0	0	0	0	0	0
-12	11	7	0	0	0	0	0	0
-12	11	8	0	0	0	0	0	0
-12	11	9	0	0	0	0	0	0
-12	11	10	0	0	0	0	0	0
-12	11	11	0	0	0	0	0	0
-12	11	12	0	0	0	0	0	0
-12	12	-12	0	0	0	0	0	0
-12	12	-11	0	0	0	0	0	0
-12	12	-10	0	0	0	0	0	0
-12	12	-9	0	0	0	0	0	0
-12	12	-8	0	0	0	0	0	0
-12	12	-7	0	0	0	0	0	0
-12	12	-6	0	0	0	0	0	0
-12	12	-5	0	0	0	0	0	0
-12	12	-4	0	0	0	0	0	0
-12	12	-3	0	0	0	0	0	0
-12	12	-2	0	0	0	0	0	0
-12	12	-1	0	0	0	0	0	0
-12	12	0	0	0	0	0	0	0
-12	12	1	0	0	0	0	0	0
-12	12	2	0	0	0	0	0	0
-12	12	3	0	0	0	0	0	0
-12	12	4	0	0	0	0	0	0
-12	12	5	0	0	0	0	0	0
-12	12	6	0	0	0	0	0	0
-12	12	7	0	0	0	0	0	0
-12	12	8	0	0	0	0	0	0
-12	12	9	0	0	0	0	0	0
-12	12	10	0	0	0	0	0	0
-12	12	11	0	0	0	0	0	0
-12	12	12	0	0	0	0	0	0
-11	-12	-12	0	0	0	0	0	0
-11	-12	-11	0	0	0	0	0	0
-11	-12	-10	0	0	0	0	0	0
-11	-12	-9	0	0	0	0	0	0
-11	-12	-8	0	0	0	0	0	0
-11	-12	-7	0	0	0	0	0	0
-11	-12	-6	0	0	0	0	0	0
-11	-12	-5	0	0	0	0	0	0
-11	-12	-4	0	0	0	0	0	0
-11	-12	-3	0	0	0	0	0	0
-11	-12	-2	0	0	0	0	0	0
-11	-12	-1	0	0	0	0	0	0
-11	-12	0	0	0	0	0	0	0
-11	-12	1	0	0	0	0	0	0
-11	-12	2	0	0	0	0	0	0
-11	-12	3	0	0	0	0	0	0
-11	-12	4	0	0	0	0	0	0
-11	-12	5	0	0	0	0	0	0
-11	-12	6	0	0	0	0	0	0
-11	-12	7	0	0	0	0	0	0
-11	-12	8	0	0	0	0	0	0
-11	-12	9	0	0	0	0	0	0
-11	-12	10	0	0	0	0	0	0
-11	-12	11	0	0	0	0	0	0
-11	-12	12	0	0	0	0	0	0
-11	-11	-12	0	0	0	0	0	0
-11	-11	-11	0	0	0	0	0	0
-11	-11	-10	0	0	0	0	0	0
-11	-11	-9	0	0	0	0	0	0
-11	-11	-8	0	0	0	0	0	0
-11	-11	-7	0	0	0	0	0	0
-11	-11	-6	0	0	0	0	0	0
-11	-11	-5	0	0	0	0	0	0
-11	-11	-4	0	0	0	0	0	0
-11	-11	-3	0	0	0	0	0	0
-11	-11	-2	0	0	0	0	0	0
-11	-11	-1	0	0	0	0	0	0
-11	-11	0	0	0	0	0	0	0
-11	-11	1	0	0	0	0	0	0
-11	-11	2	0	0	0	0	0	0
-11	-11	3	0	0	0	0	0	0
-11	-11	4	0	0	0	0	0	0
-11	-11	5	0	0	0	0	0	0
-11	-11	6	0	0	0	0	0	0
-11	-11	7	0	0	0	0	0	0
-11	-11	8	0	0	0	0	0	0
-11	-11	9	0	0	0	0	0	0
-11	-11	10	0	0	0	0	0	0
-11	-11	11	0	0	0	0	0	0
-11	-11	12	0	0	0	0	0	0
-11	-10	-12	0	0	0	0	0	0
-11	-10	-11	0	0	0	0	0	0
-11	-10	-10	0	0	0	0	0	0
-11	-10	-9	0	0	0	0	0	0
-11	-10	-8	0	0	0	0	0	0
-11	-10	-7	0	0	0	0	0	0
-11	-10	-6	0	0	0	0	0	0
-11	-10	-5	0	0	0	0	0	0
